Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
"Bahamas, The",BHS,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773100000,870400000,952300000,1064700000,1136300000,1165800000,1235100000,1375629000,1431678000,1509200000,1514500000,,,,,,2386277000,2469300000,2678900000,3084771000,3400915000,3552942000,3905694000,4689267000,5158420000,5655150000,6138814000,,,,,
Bosnia and Herzegovina,BIH,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12023018745.3002,12872797345,,,,15809924209.5686,,,,,
Belarus,BLR,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370,5110,1351480,2049290,2210010,4464860,14169990,45703000,137139000,196472000,322460000,,,427505200,526681800,865671000,1383133100,2636853897.56257,3222697837.03379,12110618048,13377900000,15987400000,19781184418,33804450453.3197,37941765765.7758,,,,,
Belize,BLZ,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231832000,254767000,341625000,395557000,431785000,450357000,498128000,,,,,,1254635000,1743037000,2200126000,2054694000,2134440000,2187249000,2156840000,2192727000,2240073000,2286248000,2344154000,2488400000,2609974000,,,,,,,
Bermuda,BMU,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16352900000,18506600000,17973600000,19379600000,22041700000,27091500000,31213800000,36760230000,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540900000000,1698850000000,1886280000000,2126740000000,2382753990986.1,2597017652406.62,2881609304522.97,3051200747915.62,3378218222290.28,4049407884511.51,4602865624505.08,,,,,
Barbados,BRB,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4873042147,5260609856,6246978106,6810844786,7759229085,8672652668,9338336564,10397944167,11270291340,12175704025,13365027241,,,,,,
Brunei Darussalam,BRN,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687000000,2698900000,2956500000,2821100000,2798200000,2662400000,4069500000,4084900000,4661170000,6205356000,7721800000,15723800000,14715686000,19930991000,23959301000,28721391000,30457650000,31056399000,33070990000,34759027000,39788500000,53119200000,70668700000,101310000000,108370000000,120783002000,160562057000,,,,,
