Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Austria,AUT,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,225285785.920365,244907451.145687,275430041.496188,366271084.206013,586469771.734628,741989636.853848,969455607.799248,1122795287.89343,1283402251.4044,1499967297.22462,1850250357.91371,1969433805.949,2454888338.1903,2792817017.07085,3103130018.96761,3593671649.60066,3864741321.04678,4226652035.20272,4695391815.58542,5318924732.74565,5725165875.74399,6071088566.383,6071815294.72468,6863630000,7080850000,6809730000,6923720000,6927100000,7419560000,7486020000,7580690000,7273800000,7303000000,8080530000,8132870000,8404170000,8040800000,8682540000,8322060000,8387860000,8495440000,8224500000,7918740000,7850150000,7287050000,6707320000,6151870000,5640000000,,
Azerbaijan,AZE,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,1171000,9832800,14240000,12278400,16367200,,,,,,,,,32700000,78700000,39500000,169600000,90200000,154500000,84200000,211400000,614100000,495200000,769400000,634800000,,
Burundi,BDI,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,388000000,,,,,,,,,,3313000000,3883000000,3955000000,4007000000,3722000000,4422000000,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17207700000,16784800000,15958000000,15917900000,15382400000,15756300000,15751900000,14553900000,13628600000,12902800000,12355600000,12285100000,12352600000,12485000000,11794100000,11525100000,11946800000,12309800000,11728200000,11747700000,10876800000,10347200000,9324800000,8649600000,8237000000,,
Benin,BEN,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,146000000,356000000,366000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16671046796,16785510278.7,19127173615,18169721978,17348165834,13054658756.3,12693275000,16870967228,21354239663,28291579336,41805614512,34755278004,44011188207,43752144897,65300000000,69515113978,97240452243.0826,114498591561.875,,
Bangladesh,BGD,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41456340000,49216850000,56159770000,56864210000,67575155000,83735932000,103516769000,135769443000,151532016000,148159011000,155878100000,202938400000,241641100000,280034000000,309742900000,330580000000,,,,,
Bulgaria,BGR,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2386000,8761000,13880000,29172000,76411000,123927000,342294000,1233056000,953657000,888490000,1134497000,1283298000,742723000,795705000,758402000,726713000,687118000,702533000,597742000,514797000,501020000,549969000,631427000,577677000,695060000,795734000,810434000,799027000,699317000,640999000,,
Bahrain,BHR,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,100000,300000,500000,1200000,2000000,1600000,1600000,2600000,2100000,2200000,2100000,4100000,6000000,9400000,11900000,13800000,17800000,8400000,12500000,15900000,17200000,20500000,19900000,21500000,24100000,30400000,47300000,51600000,35900000,49400000,45900000,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61800000,72900000,71200000,77100000,79100000,81200000,87400000,93981000,99073000,95600000,92200000,100700000,98300000,107000000,113941000,121247000,116574000,127166000,143124000,154223000,186521259.88,201714464.55,191359891.92,205003036.31,213857419.74,241500308.1,274994909.71,267755486.92,313869000,328480000,,
Bosnia and Herzegovina,BIH,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93521744.79,104465269.619999,104669492.57,114508956.89,112561480.43,108153529.898086,143771982.7,181053249.2,179476393.5,214366922.96066,239610820.887586,231345764.34,209090214.94359,224774181.949704,220450104.621365,,
Belarus,BLR,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,770,3920,28930,122680,237370,508680,1932510,7532000,12188000,14228000,18395420,23393400,22600100,26706300,34388100,69320000,100266000,90708552.83176,256220000,600890000,543931000,725194900,1348508104.37,1728984567,1876350351,2145651809.8,2163204683.3,,
Belize,BLZ,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11022000,10826000,12752000,17876000,22550000,25716000,28322000,24408000,24597000,30205000,41577000,53634000,63916000,81336000,175868000,153740000,170217000,111188000,102344000,95790000,103376000,102342000,57082989.36,83722485.8,90483516.88,84995823.27,86669301.58,104665512,,,,
Bermuda,BMU,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,50900000,102600000,99200000,125000000,145700000,204900000,318200000,450300000,610300000,727700000,749500000,709200000,775700000,627600000,890500000,1102970000,1333991588.22,1566203978.05,1774000000,2007900402.01,2810887455.95,2142386179.88,,,,,,,,,,,,,,
Brazil,BRA,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272272361551.952,331325492111.365,331064484972.352,366718535108.874,426054022622.893,700214592283.122,606915994714.082,573634429077.099,598126985546.249,511686548962.994,,
Barbados,BRB,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274300000,271700000,295102387.91,324803617.87,388975598,394830315,430316130,488499084,527213136,565047575,597934271,644966516,663885280,736152386,,,,,
Brunei Darussalam,BRN,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,0,600000,1000000,,,,700000,18400000,41300000,33400000,59500000,62400000,217800000,199200000,205500000,201800000,103000000,84300000,80200000,77800000,115754000,168887000,220264000,405447000,382117000,443294000,1719236000,1733832000,1743182000,1794047000,1886035000,2642474000,2090487312,2024940000,2109083000,1998714655.86,2149899733.18,,,
Botswana,BWA,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52320000,60700000,68000000,78700000,84500000,91600000,91400000,,,,,,,,,,235520000,248440000,282080000,369820000,523540000,586570000,671980000,687470000,701700000,826750000,877830000,989520000,1090900000,1204170000,,
Central African Republic,CAF,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5549943594,,,,10622359022.6276,10832508806.6431,9511550000,6983069494.86775,5923666208,,2169768917,4697812519.682,1155630000,2205000000,2801230000,,,
Canada,CAN,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42144000000,41311000000,39796000000,39489000000,40425000000,46579000000,45667000000,43735000000,44250000000,44028000000,45626000000,42172000000,37108000000,35527000000,33808000000,32467000000,32529000000,31932000000,30645000000,27703000000,28280000000,28870000000,27334000000,27290000000,25214000000,23812000000,22543000000,22130000000,24652000000,25818000000,,
Central Europe and the Baltics,CEB,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,318000000,360000000,435000000,568000000,585000000,801000000,790000000,797000000,881000000,1033000000,1027000000,1002000000,980000000,,,,,,1828620484.74,2035543474.16,2564142293.68,2594425892.58,3292415025.12,3294495952.13,3034232612.1,3200879624.46,3487110793.49,3713727769.1,3654618192.77,3537367995.71,3492259908.55,3093247318.42,3162391174.18,3599750181.45,4057142398.61,3738570139.96,3462083988.82,3043314153.91,2880559072.3,2656213802.65,2404826996.29,2144872725.84,2007249893.85,1925383864.45,1703956531.48,1448928801.71,1190327302.75,1090161855.1,,
Channel Islands,CHI,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,0,0,70000000,1230000000,3210000000,8590000000,8110000000,8260000000,8540000000,5160000000,6600000000,19430000000,26340000000,50850000000,55010000000,93480000000,138320000000,129480000000,179430000000,261680000000,215610000000,228740000000,210900000000,192360000000,165940000000,140780000000,233230000000,120710000000,495620000000,521790000000,542380000000,587040000000,560980000000,556000000000,539000000000,521302000000,441928000000,511016830530.857,500725636340,667174818934.937,788226119472.905,807255000000,806428713243.61,1045176107528.1,1282110306360,1412636857000,1731458100362.87,1752049389143.08,,
China,CHN,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81501130000,100090000000,101214720000,127000000000,132070250000,150888430000,181996000000,206041000000,231540610000,260360270000,357839940000,340761478440.94,449600050506.88,419888000000,,,
Cote d'Ivoire,CIV,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343200000000,,,,,,259700000000,265617000000,218000000000,186100000000,177100000000,131900000000,166200000000,181900000000,168430000000,194330000000,219250000000,232921000000,214779000000,138501000000,297665000000,360135000000,379459243000,434160000000,520934847529.66,,
Cameroon,CMR,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38080000000,42970000000,39400000000,57880000000,107180000000,123200000000,,,168200000000,166200000000,,,,,,,,,,,,,51246000000,57954000000,69200000000,69900000000,144800000000,174000000000,171686357046.078,,,
"Congo, Dem. Rep.",COD,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,3.66666666666667e-05,7e-05,0.00011,0.000116666666666667,0.00028,0.000356666666666667,0.000403333333333333,0.000866666666666667,0.00125333333333333,0.00299333333333333,0.00407,,,,,,0.0702666666666667,0.152816666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152000000000,177800000000,117800000000,33732000000,86384000000,200622000000,111480000000,183250000000,48559000000,55885000000,10700000000,13000000000,18100000000,15000000000,28200000000,33600000000,94300000000,166800000000,,,
Colombia,COL,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4267272601249.53,5193621746449.14,6663821667342.91,,,12993936884000,,,,,14918226000000,16242574000000,15208950000000,16155843000000,16105530000000,17492556000000,17344728264592.2,18941493291156.7,26239032033788.3,26915767814972.5,30042569058814.2,34180777695981.6,,
Comoros,COM,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927507073,1920075551,1885255273,1845435032.33,1818254300.03185,2159070215,2276321582,2857729387,3315949933.99,3427980827,4097531945,4203058298,4473525194,,,,
Costa Rica,CRI,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,140000000,170000000,200000000,230000000,320000000,450000000,620000000,900000000,910000000,1600000000,2460000000,3520000000,3670000000,5830000000,6470000000,8600000000,10720000000,16210000000,27700000000,33100000000,33510000000,52860000000,91290000000,114010000000,113670000000,116090000000,164250000000,176000000000,213900000000,260552000000,298500000000,333800000000,394600700000,438200000000,421435800000,342583511577.02,364773347205.17,409774488961.4,456654121679.49,478154685601.03,635370000000,699956104252.02,808409060585.31,883348117309.751,882504419442.589,1240928268554.56,1556098375972.65,,
Caribbean small states,CSS,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,3810181.21426887,4596137.87730191,4168987.51695787,5074546.28088724,7056523.95288361,11242597.4842552,13002456.9688727,19119250.1289994,25099355.173816,35829372.2256584,50506258.6070798,71675830.4657306,89616145.6001804,99474775.916921,107214740.446355,123822346.456531,142651134.340497,167152479.009831,333035898.454731,377993409.291011,418425975.854808,475119148.61069,541562846.444048,239204201.792665,298492671.808418,323096532.564235,439623150.86609,462176689.892256,560762993.059661,603307168.949928,585366853.815478,677631331.649791,681561114.964957,756910438.529646,775192473.952371,809022782.491619,816540628.833675,402700000,350000000,395900000,628100000,576100000,571300000,552300000,492800000,492300000,501700000,505800000,,
Czech Republic,CZE,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17739000000,15030000000,15098000000,18567000000,18959000000,20797000000,18173000000,16326000000,22789000000,31510000000,29134000000,31772000000,33483000000,34358000000,38373000000,38236000000,46579000000,50823000000,52830000000,56094000000,53443000000,53914000000,47632000000,42581000000,36809000000,38842000000,39372000000,,
Germany,DEU,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,1559440237.64847,1809973259.43461,2397958922.81026,2888799128.75863,3742656570.35632,4596514011.954,5092467136.71434,5920759984.25221,7219441362.49061,9315738075.3951,11519406083.3508,13845784142.7936,14454221481.4171,15190481790.3397,15742677022.0316,16141484689.3646,16785712459.6719,16688567002.2446,17823634978.5002,25478000000,34318000000,35447000000,39538000000,44439000000,44649000000,44863000000,45812000000,43949000000,44874000000,42961000000,42473000000,40340000000,39348000000,38636000000,38928000000,40613000000,41648000000,39484000000,37399000000,41550000000,38100000000,28851000000,26522000000,23717000000,20492000000,18094000000,17010000000,15027000000,,
Djibouti,DJI,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,670000000,804000000,939000000,1176000000,1711000000,3118000000,3961000000,8013000000,10057000000,15581000000,21520000000,29154000000,41531000000,47869000000,46338000000,46551000000,46360000000,46688000000,49312000000,49491000000,46229000000,52838000000,54767000000,57610000000,58626000000,55260000000,51394000000,49287000000,47550000000,44430000000,41840000000,38043000000,35936000000,30443000000,27520000000,25248000000,22172000000,29657000000,31637000000,33328000000,31364000000,30187000000,27282000000,30072000000,26738000000,16097000000,16839000000,15975000000,,
Dominican Republic,DOM,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,2500000,4400000,6500000,6100000,9500000,8400000,12400000,57600000,64800000,74400000,69400000,97200000,79100000,52900000,22800000,22900000,24100000,343100000,281100000,734200000,648300000,1639900000,1300600000,1511600000,1054100000,1113300000,1300600000,1778500000,2458300000,3070817740.89,4607842710.51,7874367535.68,15507871570.7717,12560851714.4151,16454250715.7214,16835180388.7795,25260295631.5253,32006430811.8384,35820272614.1719,44858981309.1718,57194179058,59241678802.8733,70041879871.9031,80139019717.7793,95636443042.773,109116548122.721,109673336819.286,125327963382.518,,
Algeria,DZA,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,83000000,100000000,169000000,296000000,462000000,,466000000,516000000,899000000,1128000000,1272000000,1567000000,1886000000,2428000000,3089000000,3760000000,5880000000,8788000000,13433000000,16651000000,14930000000,16032000000,15455000000,,,,,20303000000,23727000000,27517000000,29806000000,34811700000,38367300000,40956600000,43755100000,62199000000,76361800000,93401000000,135331000000,159330000000,179035000000,,,,,,
Euro area,EMU,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,98565985.1189403,135227723.486351,130419626.651281,140035820.321421,152056062.409097,221773466.517616,307117185.340113,397269000.99768,223576502.830767,250021035.423653,497638022.429772,1593884100.82579,2752635438.07772,5083961390.98241,6489127691.0317,6477708461.04841,7144831896.9144,7780101691.24806,9001358287.35591,11064632841.7054,12606829901.5542,15955669347.1807,17970862933.1795,,,,,,,,,,,,,,,,,,,,,,,25690000000,25983000000,24974000000,,
Estonia,EST,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4084.69881872499,,,,12900000,20900000,13700000,18600000,14100000,11100000,9900000,13600000,13900000,15300000,13700000,13000000,12000000,14100000,13300000,11700000,13300000,20100000,21300000,28300000,25900000,24000000,19300000,16000000,14500000,,
Ethiopia,ETH,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227700000,267900000,307300000,530500000,956900000,838600000,931700000,935000000,899900000,1002500000,,1069900000,996400000,1016900000,1104300000,1114000000,2427800000,2427800000,1578150000,1383800000,1577700000,2004210000,2530700000,3139033514.28,3806731103.12,5338540586.6,7231016301.37,8659030037.06,11093637683.29,13418657194.18,,
European Union,EUU,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,46924431.4827616,50288190.0119918,43728860.8799929,44233424.6593774,48101746.9679922,73834499.7166033,103771950.626752,162974100.741204,201489135.90089,263214104.912265,360594914.33348,512300424.001763,635413986.171589,763741374.061722,766264192.958644,800406342.030331,870036143.585397,826475470.631865,795024328.383563,972798966.65338,1404537373.88008,3021664286.80751,3723176128.07847,3603000000,4017000000,4395000000,4020000000,3597000000,3578000000,3552000000,2948000000,2720000000,2618000000,2495000000,2365000000,2340000000,2361000000,2253000000,2415000000,2569000000,2708000000,2504000000,2492000000,2379000000,2281000000,2155000000,1979000000,1862000000,,
Fiji,FJI,Interest payments (current LCU),GC.XPN.INTP.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68510000,68670000,67860000,71350000,73240000,87730000,84070000,,,,,,,,119020000,128090000,141481579,,,,218023074.84,258434473.53,257650268.39,260506022.56,264182909.91,290683402.43,265053626,279406310.49,310480392.32,337860175.26,,
